RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.022395521,80,0,0.109630123,3000,2,0,0,0,0,-1
0.026221979,39,1,0.264212891,11573,14,0,2,0,2,-1
0,61,0,0.13486921,8333,3,0,0,0,0,-1
0.760820913,43,0,0.336093113,8333,7,0,2,0,4,-1
0.021848992,77,0,30,6670.221237,5,0,0,0,0,-1
0.9999999,63,0,0.000912409,6575,1,0,0,1,1,-1
0,38,1,0.470154753,5427,7,0,1,0,1,-1
0.937242798,65,0,0.662911612,1153,6,0,1,0,0,-1
0.210370797,48,0,2115,6670.221237,5,0,2,0,0,-1
0.9999999,32,0,0.23988006,2000,1,0,0,0,0,-1
0.9999999,25,0,0.27842867,1450,3,5,0,0,0,-1
0.9999999,80,0,0.067142008,5048,4,0,0,0,0,-1
0.132351157,41,0,0.993096882,4200,14,0,2,0,0,-1
0.015512742,46,0,0.309889325,2800,11,0,1,0,3,-1
0.015414715,49,0,5025,6670.221237,6,0,2,0,4,-1
0.039684932,95,0,0.01112361,8000,12,0,0,0,1,-1
0.035770446,60,0,0.29504715,11770,7,0,2,0,2,-1
0.123872895,51,0,0.522079653,6000,9,0,1,0,2,-1
0.051877359,53,1,0.055590256,1600,9,0,0,0,0,-1
0.168963784,63,0,0.3017415,8440,9,0,2,0,0,-1
0.88005997,31,0,0.157097409,6600,4,0,0,0,3,-1
0.088917201,53,0,0.437760373,6000,16,0,1,0,0,-1
0.451694542,58,0,0.425562299,2800,10,0,1,0,0,-1
0.214400276,51,0,0.114687741,5187,10,0,0,0,0,-1
1.315859618,51,3,0.252999855,6916,1,2,1,0,0,-1
0.062780381,53,1,0.372604566,6000,6,0,2,0,2,-1
0.004399707,68,0,1,0,1,0,0,0,0,-1
0.019170826,64,0,954,6670.221237,15,0,1,0,0,-1
0.013745595,69,0,0.00299925,4000,3,0,0,0,0,-1
0.404014625,54,0,0.070418512,7000,3,0,0,0,0,-1
0.439308476,62,0,0.468150298,6200,9,0,1,0,1,-1
0,49,0,0.181212758,5705,5,0,1,0,3,-1
0.205839221,41,0,0.174591563,4100,7,0,1,0,1,-1
0.266671318,55,0,0.361358709,4150,13,0,1,0,1,-1
0.027237694,67,0,1944,6670.221237,10,0,2,0,0,-1
0.430272292,37,2,0.391408998,5400,6,0,1,0,1,-1
0.004284385,58,0,742,6670.221237,8,0,1,0,2,0
0.073634132,46,0,0.444150344,5666,9,0,1,0,3,0
0.778447313,53,0,0.555879328,5833,4,0,1,0,0,0
0,36,0,1896,6670.221237,7,0,1,0,0,0
0.422420977,54,0,0.230077519,3224,5,0,0,0,3,0
0,53,0,0.064768529,4600,4,0,1,0,3,0
0,44,1,503,1,4,0,1,0,2,0
0.063898403,47,1,0.120575885,5000,11,0,0,0,1,0
0,70,0,2.776353276,701,15,0,1,0,0,0
0.027422613,72,0,0.420939866,7000,16,0,2,0,0,0
0,23,0,0,820,1,0,0,0,0,0
0.348216295,44,0,1320,0,12,0,1,0,2,0
0.011913523,59,0,0.030630298,65000,21,0,2,0,0,0
0.017293807,40,0,0.279836008,20000,16,0,2,0,3,0
0.006276966,52,0,0.007915018,4800,10,0,0,0,0,0
0.314468225,43,0,0.452246625,9925,6,0,2,0,3,0
0.425983925,70,0,0.08447888,4000,6,0,0,0,0,0
0.560054993,37,0,2274,6670.221237,5,0,1,0,2,0
0.53158733,62,0,1898,6670.221237,15,0,1,0,5,0
0.060593941,37,0,0.00359928,5000,1,0,0,0,1,0
0.005464267,67,0,0.141387822,7291,8,0,1,0,1,0
0.03398786,45,1,0.197120044,43333,10,0,3,0,2,0
0,50,0,0.511171293,1476,4,0,0,0,3,0
0.9999999,23,0,61,6670.221237,1,0,0,0,0,0
0.004289899,57,0,0.060742407,8000,10,0,0,0,1,0
0.9999999,29,0,0.390371783,2097,4,0,0,0,1,0
0.114713217,40,5,0.449105398,6650,4,5,1,1,2,0
0.889577288,47,0,0.092590741,10000,4,0,0,0,0,0
0.33722616,59,0,0.572582196,5200,14,0,2,0,0,0
0.069086722,25,0,0.614872364,900,4,0,0,0,0,0
0.006467947,61,0,0.124521637,3396,8,0,1,0,0,0
